attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,start_time_weather
24123,San Francisco Giants,0,7,2,https://www.baseball-reference.com/boxes/MIL/MIL201604050.shtml,"Tuesday, April 5, 2016",: 2:29,"Night Game, on grass",Milwaukee Brewers,0,6,1,Start Time: 7:10 p.m. Local,Miller Park,"4&deg; F, Wind 0mph, In Dome."
36911,Detroit Tigers,1,12,8,https://www.baseball-reference.com/boxes/MIA/MIA201604050.shtml,"Tuesday, April 5, 2016",: 3:47,"Night Game, on grass",Miami Marlins,2,10,7,Start Time: 7:37 p.m. Local,Marlins Park,"7&deg; F, Wind 16mph from Left to Right, Sunny."
13468,Texas Rangers,0,14,7,https://www.baseball-reference.com/boxes/SEA/SEA201604110.shtml,"Monday, April 11, 2016",: 3:00,"Night Game, on grass",Seattle Mariners,0,7,3,Start Time: 7:10 p.m. Local,Safeco Field,"7&deg; F, Wind 2mph in from Leftfield."
45229,San Diego Padres,0,6,4,https://www.baseball-reference.com/boxes/PHI/PHI201604110.shtml,"Monday, April 11, 2016",: 2:51,"Day Game, on grass",Philadelphia Phillies,0,8,3,Start Time: 3:09 p.m. Local,Citizens Bank Park,"6&deg; F, Wind 17mph out to Leftfield."
13371,Los Angeles Angels of Anaheim,0,9,4,https://www.baseball-reference.com/boxes/OAK/OAK201604110.shtml,"Monday, April 11, 2016",: 3:05,"Night Game, on grass",Oakland Athletics,0,10,1,Start Time: 7:07 p.m. Local,Oakland-Alameda County Coliseum,"3&deg; F, Wind 11mph out to Rightfield, Cloudy."
24318,Miami Marlins,1,15,10,https://www.baseball-reference.com/boxes/NYN/NYN201604110.shtml,"Monday, April 11, 2016",: 3:45,"Night Game, on grass",New York Mets,0,7,3,Start Time: 7:11 p.m. Local,Citi Field,"7&deg; F, Wind 15mph out to Leftfield."
40638,Chicago White Sox,0,9,4,https://www.baseball-reference.com/boxes/MIN/MIN201604110.shtml,"Monday, April 11, 2016",: 3:05,"Day Game, on grass",Minnesota Twins,1,6,1,Start Time: 3:16 p.m. Local,Target Field,"2&deg; F, Wind 21mph in from Leftfield, Cloudy."
43332,Kansas City Royals,0,11,2,https://www.baseball-reference.com/boxes/HOU/HOU201604110.shtml,"Monday, April 11, 2016",: 2:59,"Night Game, on grass",Houston Astros,0,14,8,Start Time: 7:12 p.m. Local,Minute Maid Park,"3&deg; F, Wind 0mph, In Dome."
26271,Pittsburgh Pirates,1,17,7,https://www.baseball-reference.com/boxes/DET/DET201604110.shtml,"Monday, April 11, 2016",: 3:17,"Day Game, on grass",Detroit Tigers,0,6,4,Start Time: 1:10 p.m. Local,Comerica Park,"6&deg; F, Wind 9mph in from Rightfield, Overcast."
40882,Cincinnati Reds,1,7,3,https://www.baseball-reference.com/boxes/CHN/CHN201604110.shtml,"Monday, April 11, 2016",: 3:03,"Night Game, on grass",Chicago Cubs,0,3,5,Start Time: 7:06 p.m. Local,Wrigley Field,"8&deg; F, Wind 12mph from Left to Right, Cloudy."
21203,Kansas City Royals,0,13,6,https://www.baseball-reference.com/boxes/HOU/HOU201604140.shtml,"Thursday, April 14, 2016",: 2:41,"Night Game, on grass",Houston Astros,0,5,2,Start Time: 7:11 p.m. Local,Minute Maid Park,"5&deg; F, Wind 2mph out to Leftfield, Cloudy."
21226,San Francisco Giants,1,9,6,https://www.baseball-reference.com/boxes/COL/COL201604140.shtml,"Thursday, April 14, 2016",: 3:26,"Day Game, on grass",Colorado Rockies,3,13,11,Start Time: 1:10 p.m. Local,Coors Field,"2&deg; F, Wind 12mph out to Centerfield, Cloudy."
34898,Cincinnati Reds,2,6,1,https://www.baseball-reference.com/boxes/CHN/CHN201604140.shtml,"Thursday, April 14, 2016",: 3:07,"Night Game, on grass",Chicago Cubs,0,11,8,Start Time: 7:05 p.m. Local,Wrigley Field,"5&deg; F, Wind 8mph out to Centerfield, Sunny."
19400,Atlanta Braves,0,5,0,https://www.baseball-reference.com/boxes/WAS/WAS201604130.shtml,"Wednesday, April 13, 2016",: 2:12,"Night Game, on grass",Washington Nationals,0,4,3,Start Time: 7:05 p.m. Local,Nationals Park,"6&deg; F, Wind 0mph, Sunny."
27938,New York Yankees,1,8,2,https://www.baseball-reference.com/boxes/TOR/TOR201604130.shtml,"Wednesday, April 13, 2016",: 2:43,"Night Game, on turf",Toronto Blue Jays,0,10,7,Start Time: 7:08 p.m. Local,Rogers Centre,"8&deg; F, Wind 0mph, In Dome."
16783,Toronto Blue Jays,0,8,4,https://www.baseball-reference.com/boxes/BAL/BAL201604190.shtml,"Tuesday, April 19, 2016",: 2:50,"Night Game, on grass",Baltimore Orioles,1,7,3,Start Time: 7:09 p.m. Local,Oriole Park at Camden Yards,"9&deg; F, Wind 11mph in from Centerfield, Sunny."
14160,Los Angeles Dodgers,3,5,1,https://www.baseball-reference.com/boxes/ATL/ATL201604190.shtml,"Tuesday, April 19, 2016",: 2:57,"Night Game, on grass",Atlanta Braves,0,10,8,Start Time: 7:10 p.m. Local,Turner Field,"0&deg; F, Wind 2mph out to Centerfield."
45432,Chicago Cubs,0,9,5,https://www.baseball-reference.com/boxes/SLN/SLN201604180.shtml,"Monday, April 18, 2016",: 2:32,"Night Game, on grass",St. Louis Cardinals,1,5,0,Start Time: 7:09 p.m. Local,Busch Stadium III,"5&deg; F, Wind 15mph from Right to Left."
41432,Arizona Diamondbacks,0,16,9,https://www.baseball-reference.com/boxes/SFN/SFN201604180.shtml,"Monday, April 18, 2016",: 4:35,"Night Game, on grass",San Francisco Giants,0,13,7,Start Time: 7:16 p.m. Local,AT&T Park,"7&deg; F, Wind 6mph out to Centerfield, Cloudy."
21585,New York Mets,0,10,5,https://www.baseball-reference.com/boxes/PHI/PHI201604180.shtml,"Monday, April 18, 2016",: 2:51,"Night Game, on grass",Philadelphia Phillies,0,7,2,Start Time: 7:07 p.m. Local,Citizens Bank Park,"7&deg; F, Wind 4mph out to Centerfield, Sunny."
21078,Milwaukee Brewers,1,6,4,https://www.baseball-reference.com/boxes/MIN/MIN201604180.shtml,"Monday, April 18, 2016",: 2:21,"Night Game, on grass",Minnesota Twins,1,14,7,Start Time: 7:11 p.m. Local,Target Field,"7&deg; F, Wind 14mph in from Leftfield."
16112,Washington Nationals,1,6,1,https://www.baseball-reference.com/boxes/MIA/MIA201604180.shtml,"Monday, April 18, 2016",: 2:43,"Night Game, on grass",Miami Marlins,0,10,6,Start Time: 7:11 p.m. Local,Marlins Park,"3&deg; F, Wind 0mph, In Dome."
12777,Colorado Rockies,1,7,5,https://www.baseball-reference.com/boxes/CIN/CIN201604180.shtml,"Monday, April 18, 2016",: 2:41,"Night Game, on grass",Cincinnati Reds,0,4,1,Start Time: 7:10 p.m. Local,Great American Ball Park,"0&deg; F, Wind 10mph out to Centerfield, Sunny."
14706,Los Angeles Angels of Anaheim,0,13,7,https://www.baseball-reference.com/boxes/CHA/CHA201604180.shtml,"Monday, April 18, 2016",: 2:58,"Night Game, on grass",Chicago White Sox,1,3,0,Start Time: 7:11 p.m. Local,U.S. Cellular Field,"5&deg; F, Wind 12mph in from Leftfield."
37168,Toronto Blue Jays,0,8,4,https://www.baseball-reference.com/boxes/BOS/BOS201604180.shtml,"Monday, April 18, 2016",: 3:12,"Day Game, on grass",Boston Red Sox,1,7,3,Start Time: 11:07 a.m. Local,Fenway Park,"6&deg; F, Wind 8mph in from Leftfield, Cloudy."
21810,Chicago White Sox,1,5,2,https://www.baseball-reference.com/boxes/TBA/TBA201604170.shtml,"Sunday, April 17, 2016",: 2:36,"Day Game, on turf",Tampa Bay Rays,0,8,3,Start Time: 1:10 p.m. Local,Tropicana Field,"2&deg; F, Wind 0mph, In Dome."
46268,Cincinnati Reds,1,8,3,https://www.baseball-reference.com/boxes/SLN/SLN201604170.shtml,"Sunday, April 17, 2016",: 2:44,"Day Game, on grass",St. Louis Cardinals,2,7,4,Start Time: 1:15 p.m. Local,Busch Stadium III,"8&deg; F, Wind 11mph out to Leftfield, Cloudy."
16497,Chicago Cubs,0,18,16,https://www.baseball-reference.com/boxes/CIN/CIN201604210.shtml,"Thursday, April 21, 2016",: 2:56,"Night Game, on grass",Cincinnati Reds,1,0,0,Start Time: 7:11 p.m. Local,Great American Ball Park,"8&deg; F, Wind 13mph in unknown direction, Overcast."
24333,Chicago White Sox,0,11,7,https://www.baseball-reference.com/boxes/TOR/TOR201604250.shtml,"Monday, April 25, 2016",: 3:24,"Night Game, on turf",Toronto Blue Jays,0,14,5,Start Time: 7:08 p.m. Local,Rogers Centre,"8&deg; F, Wind 0mph, In Dome."
31453,New York Yankees,1,10,3,https://www.baseball-reference.com/boxes/TEX/TEX201604250.shtml,"Monday, April 25, 2016",: 2:46,"Night Game, on grass",Texas Rangers,0,3,1,Start Time: 7:10 p.m. Local,Globe Life Park in Arlington,"2&deg; F, Wind 10mph from Right to Left, Cloudy."
12996,Baltimore Orioles,0,5,0,https://www.baseball-reference.com/boxes/TBA/TBA201604250.shtml,"Monday, April 25, 2016",: 2:37,"Night Game, on turf",Tampa Bay Rays,0,5,2,Start Time: 7:10 p.m. Local,Tropicana Field,"2&deg; F, Wind 0mph, In Dome."
41266,San Diego Padres,0,11,4,https://www.baseball-reference.com/boxes/SFN/SFN201604250.shtml,"Monday, April 25, 2016",: 3:47,"Night Game, on grass",San Francisco Giants,0,12,5,Start Time: 7:15 p.m. Local,AT&T Park,"9&deg; F, Wind 22mph out to Rightfield, Sunny."
14832,Houston Astros,0,10,2,https://www.baseball-reference.com/boxes/SEA/SEA201604250.shtml,"Monday, April 25, 2016",: 2:40,"Night Game, on grass",Seattle Mariners,0,4,3,Start Time: 7:11 p.m. Local,Safeco Field,"6&deg; F, Wind 3mph in from Rightfield, Cloudy."
30250,Cincinnati Reds,0,8,3,https://www.baseball-reference.com/boxes/NYN/NYN201604250.shtml,"Monday, April 25, 2016",: 3:11,"Night Game, on grass",New York Mets,1,10,5,Start Time: 7:10 p.m. Local,Citi Field,"4&deg; F, Wind 8mph from Right to Left, Cloudy."
17503,Cleveland Indians,0,12,3,https://www.baseball-reference.com/boxes/MIN/MIN201604250.shtml,"Monday, April 25, 2016",: 3:24,"Night Game, on grass",Minnesota Twins,1,5,4,Start Time: 7:11 p.m. Local,Target Field,"0&deg; F, Wind 10mph from Left to Right, Overcast."
44954,Miami Marlins,1,8,3,https://www.baseball-reference.com/boxes/LAN/LAN201604250.shtml,"Monday, April 25, 2016",: 2:51,"Night Game, on grass",Los Angeles Dodgers,0,7,2,Start Time: 7:10 p.m. Local,Dodger Stadium,"1&deg; F, Wind 17mph from Left to Right, Sunny."
21671,Oakland Athletics,0,10,3,https://www.baseball-reference.com/boxes/DET/DET201604250.shtml,"Monday, April 25, 2016",: 2:39,"Night Game, on grass",Detroit Tigers,2,12,7,Start Time: 7:10 p.m. Local,Comerica Park,"4&deg; F, Wind 12mph in from Leftfield."
20674,Pittsburgh Pirates,0,9,6,https://www.baseball-reference.com/boxes/COL/COL201604250.shtml,"Monday, April 25, 2016",: 2:59,"Night Game, on grass",Colorado Rockies,0,9,1,Start Time: 6:40 p.m. Local,Coors Field,"4&deg; F, Wind 6mph out to Rightfield."
22735,Boston Red Sox,0,6,1,https://www.baseball-reference.com/boxes/ATL/ATL201604250.shtml,"Monday, April 25, 2016",: 2:55,"Night Game, on grass",Atlanta Braves,2,4,0,Start Time: 7:10 p.m. Local,Turner Field,"5&deg; F, Wind 8mph out to Leftfield, Cloudy."
18208,St. Louis Cardinals,1,11,7,https://www.baseball-reference.com/boxes/ARI/ARI201604250.shtml,"Monday, April 25, 2016",: 3:26,"Night Game, on grass",Arizona Diamondbacks,0,18,12,Start Time: 6:40 p.m. Local,Chase Field,"6&deg; F, Wind 0mph, In Dome."
41357,San Diego Padres,1,9,9,https://www.baseball-reference.com/boxes/SFN/SFN201604270.shtml,"Wednesday, April 27, 2016",: 3:21,"Day Game, on grass",San Francisco Giants,0,16,13,Start Time: 12:45 p.m. Local,AT&T Park,"9&deg; F, Wind 16mph from Right to Left, Overcast."
27217,Toronto Blue Jays,0,5,5,https://www.baseball-reference.com/boxes/TBA/TBA201605010.shtml,"Sunday, May 1, 2016",: 2:34,"Day Game, on turf",Tampa Bay Rays,1,4,1,Start Time: 1:10 p.m. Local,Tropicana Field,"2&deg; F, Wind 0mph, In Dome."
42933,Washington Nationals,0,11,6,https://www.baseball-reference.com/boxes/SLN/SLN201605010.shtml,"Sunday, May 1, 2016",: 2:47,"Day Game, on grass",St. Louis Cardinals,0,6,1,Start Time: 1:15 p.m. Local,Busch Stadium III,"8&deg; F, Wind 8mph out to Rightfield, Cloudy."
37053,Kansas City Royals,0,11,4,https://www.baseball-reference.com/boxes/SEA/SEA201605010.shtml,"Sunday, May 1, 2016",: 3:14,"Day Game, on grass",Seattle Mariners,1,8,1,Start Time: 1:10 p.m. Local,Safeco Field,"6&deg; F, Wind 8mph out to Centerfield, Sunny."
28755,Cincinnati Reds,0,8,6,https://www.baseball-reference.com/boxes/PIT/PIT201605010.shtml,"Sunday, May 1, 2016",: 3:42,"Day Game, on grass",Pittsburgh Pirates,4,9,5,Start Time: 1:36 p.m. Local,PNC Park,"7&deg; F, Wind 8mph out to Rightfield."
23809,Cleveland Indians,0,4,1,https://www.baseball-reference.com/boxes/PHI/PHI201605010.shtml,"Sunday, May 1, 2016",: 2:40,"Day Game, on grass",Philadelphia Phillies,2,4,2,Start Time: 2:40 p.m. Local,Citizens Bank Park,"1&deg; F, Wind 1mph out to Centerfield, Overcast."
24135,Houston Astros,0,2,2,https://www.baseball-reference.com/boxes/OAK/OAK201605010.shtml,"Sunday, May 1, 2016",: 2:50,"Day Game, on grass",Oakland Athletics,0,8,1,Start Time: 1:07 p.m. Local,Oakland-Alameda County Coliseum,"1&deg; F, Wind 5mph out to Rightfield, Sunny."
39077,San Francisco Giants,0,8,6,https://www.baseball-reference.com/boxes/NYN/NYN201605010.shtml,"Sunday, May 1, 2016",: 3:19,"Day Game, on grass",New York Mets,0,10,1,Start Time: 1:12 p.m. Local,Citi Field,"0&deg; F, Wind 14mph from Right to Left, Drizzle."
24749,Detroit Tigers,0,14,6,https://www.baseball-reference.com/boxes/MIN/MIN201605010.shtml,"Sunday, May 1, 2016",: 3:33,"Day Game, on grass",Minnesota Twins,0,11,5,Start Time: 1:11 p.m. Local,Target Field,"8&deg; F, Wind 10mph in from Leftfield, Cloudy."
28181,Miami Marlins,1,16,5,https://www.baseball-reference.com/boxes/MIL/MIL201605010.shtml,"Sunday, May 1, 2016",: 3:21,"Day Game, on grass",Milwaukee Brewers,0,18,14,Start Time: 1:11 p.m. Local,Miller Park,"7&deg; F, Wind 0mph, In Dome."
49271,San Diego Padres,1,3,0,https://www.baseball-reference.com/boxes/LAN/LAN201605010.shtml,"Sunday, May 1, 2016",: 2:07,"Day Game, on grass",Los Angeles Dodgers,0,3,1,Start Time: 1:10 p.m. Local,Dodger Stadium,"0&deg; F, Wind 6mph out to Centerfield, Sunny."
40164,Atlanta Braves,1,5,4,https://www.baseball-reference.com/boxes/CHN/CHN201605010.shtml,"Sunday, May 1, 2016",: 3:04,"Day Game, on grass",Chicago Cubs,1,6,3,Start Time: 1:21 p.m. Local,Wrigley Field,"4&deg; F, Wind 14mph in from Centerfield, Overcast."
34279,New York Yankees,2,9,7,https://www.baseball-reference.com/boxes/BOS/BOS201605010.shtml,"Sunday, May 1, 2016",: 3:17,"Night Game, on grass",Boston Red Sox,0,14,8,Start Time: 8:09 p.m. Local,Fenway Park,"9&deg; F, Wind 9mph from Right to Left, Drizzle."
40087,Philadelphia Phillies,0,5,1,https://www.baseball-reference.com/boxes/SLN/SLN201605030.shtml,"Tuesday, May 3, 2016",: 2:31,"Night Game, on grass",St. Louis Cardinals,0,3,0,Start Time: 7:15 p.m. Local,Busch Stadium III,"3&deg; F, Wind 5mph out to Rightfield, Cloudy."
42338,Pittsburgh Pirates,0,11,4,https://www.baseball-reference.com/boxes/SLN/SLN201605070.shtml,"Saturday, May 7, 2016",: 3:23,"Day Game, on grass",St. Louis Cardinals,1,9,6,Start Time: 1:16 p.m. Local,Busch Stadium III,"4&deg; F, Wind 14mph out to Rightfield, Sunny."
41590,Colorado Rockies,0,12,1,https://www.baseball-reference.com/boxes/SFN/SFN201605070.shtml,"Saturday, May 7, 2016",: 4:20,"Day Game, on grass",San Francisco Giants,0,7,2,Start Time: 1:05 p.m. Local,AT&T Park,"0&deg; F, Wind 6mph out to Centerfield, Overcast."
41028,New York Mets,0,9,6,https://www.baseball-reference.com/boxes/SDN/SDN201605070.shtml,"Saturday, May 7, 2016",: 2:52,"Night Game, on grass",San Diego Padres,0,8,3,Start Time: 5:41 p.m. Local,Petco Park,"0&deg; F, Wind 15mph from Left to Right, Sunny."
47822,Boston Red Sox,0,6,2,https://www.baseball-reference.com/boxes/NYA/NYA201605070.shtml,"Saturday, May 7, 2016",: 3:09,"Day Game, on grass",New York Yankees,1,11,8,Start Time: 1:08 p.m. Local,Yankee Stadium III,"3&deg; F, Wind 10mph in from Leftfield."
21719,Philadelphia Phillies,0,5,4,https://www.baseball-reference.com/boxes/MIA/MIA201605070.shtml,"Saturday, May 7, 2016",: 3:20,"Night Game, on grass",Miami Marlins,1,10,3,Start Time: 7:10 p.m. Local,Marlins Park,"8&deg; F, Wind 5mph in from Leftfield, Sunny."
31559,Seattle Mariners,0,11,3,https://www.baseball-reference.com/boxes/HOU/HOU201605070.shtml,"Saturday, May 7, 2016",: 3:27,"Night Game, on grass",Houston Astros,1,8,2,Start Time: 6:11 p.m. Local,Minute Maid Park,"1&deg; F, Wind 11mph in from Leftfield, Cloudy."
35551,Texas Rangers,0,10,10,https://www.baseball-reference.com/boxes/DET/DET201605070.shtml,"Saturday, May 7, 2016",: 3:14,"Day Game, on grass",Detroit Tigers,0,11,5,Start Time: 1:10 p.m. Local,Comerica Park,"8&deg; F, Wind 8mph from Right to Left, Overcast."
17302,Kansas City Royals,0,12,7,https://www.baseball-reference.com/boxes/CLE/CLE201605070.shtml,"Saturday, May 7, 2016",: 2:41,"Day Game, on grass",Cleveland Indians,0,6,0,Start Time: 4:10 p.m. Local,Progressive Field,"9&deg; F, Wind 5mph from Right to Left, Overcast."
27567,Milwaukee Brewers,2,15,13,https://www.baseball-reference.com/boxes/CIN/CIN201605070.shtml,"Saturday, May 7, 2016",: 3:38,"Night Game, on grass",Cincinnati Reds,3,11,7,Start Time: 7:10 p.m. Local,Great American Ball Park,"3&deg; F, Wind 11mph out to Leftfield, Overcast."
40471,Washington Nationals,0,6,5,https://www.baseball-reference.com/boxes/CHN/CHN201605070.shtml,"Saturday, May 7, 2016",: 3:32,"Day Game, on grass",Chicago Cubs,1,11,8,Start Time: 3:05 p.m. Local,Wrigley Field,"1&deg; F, Wind 23mph in from Leftfield, Sunny."
28049,Minnesota Twins,0,4,2,https://www.baseball-reference.com/boxes/CHA/CHA201605070.shtml,"Saturday, May 7, 2016",: 2:58,"Night Game, on grass",Chicago White Sox,0,13,7,Start Time: 6:10 p.m. Local,U.S. Cellular Field,"0&deg; F, Wind 16mph from Left to Right, Sunny."
29862,Oakland Athletics,1,9,2,https://www.baseball-reference.com/boxes/BAL/BAL201605072.shtml,"Saturday, May 7, 2016",: 2:32,"Night Game, on grass",Baltimore Orioles,0,8,5,Start Time: 7:07 p.m. Local,Oriole Park at Camden Yards,"2&deg; F, Wind 1mph from Right to Left, Sunny."
15230,Tampa Bay Rays,1,4,2,https://www.baseball-reference.com/boxes/SEA/SEA201605090.shtml,"Monday, May 9, 2016",: 3:05,"Night Game, on grass",Seattle Mariners,0,9,5,Start Time: 7:10 p.m. Local,Safeco Field,"6&deg; F, Wind 3mph out to Rightfield, Cloudy."
14604,Oakland Athletics,1,11,6,https://www.baseball-reference.com/boxes/TBA/TBA201605130.shtml,"Friday, May 13, 2016",: 3:07,"Night Game, on turf",Tampa Bay Rays,0,5,3,Start Time: 7:10 p.m. Local,Tropicana Field,"2&deg; F, Wind 0mph, In Dome."
34579,Los Angeles Angels of Anaheim,0,13,7,https://www.baseball-reference.com/boxes/SEA/SEA201605130.shtml,"Friday, May 13, 2016",: 3:41,"Night Game, on grass",Seattle Mariners,0,10,6,Start Time: 7:10 p.m. Local,Safeco Field,"6&deg; F, Wind 2mph out to Centerfield."
22230,Cincinnati Reds,0,4,2,https://www.baseball-reference.com/boxes/PHI/PHI201605130.shtml,"Friday, May 13, 2016",: 2:37,"Night Game, on grass",Philadelphia Phillies,1,7,3,Start Time: 7:09 p.m. Local,Citizens Bank Park,"8&deg; F, Wind 6mph from Left to Right."
34264,Chicago White Sox,0,9,7,https://www.baseball-reference.com/boxes/NYA/NYA201605130.shtml,"Friday, May 13, 2016",: 2:45,"Night Game, on grass",New York Yankees,0,6,1,Start Time: 7:08 p.m. Local,Yankee Stadium III,"2&deg; F, Wind 1mph in unknown direction, Drizzle."
35291,San Diego Padres,0,3,0,https://www.baseball-reference.com/boxes/MIL/MIL201605130.shtml,"Friday, May 13, 2016",: 2:56,"Night Game, on grass",Milwaukee Brewers,2,7,1,Start Time: 7:10 p.m. Local,Miller Park,"7&deg; F, Wind 0mph, In Dome."
46716,St. Louis Cardinals,4,9,4,https://www.baseball-reference.com/boxes/LAN/LAN201605130.shtml,"Friday, May 13, 2016",: 3:01,"Night Game, on grass",Los Angeles Dodgers,1,11,8,Start Time: 7:10 p.m. Local,Dodger Stadium,"7&deg; F, Wind 7mph out to Rightfield, Cloudy."
33132,Atlanta Braves,2,7,1,https://www.baseball-reference.com/boxes/KCA/KCA201605130.shtml,"Friday, May 13, 2016",: 2:45,"Night Game, on grass",Kansas City Royals,1,7,5,Start Time: 7:15 p.m. Local,Kauffman Stadium,"2&deg; F, Wind 21mph from Left to Right."
38712,New York Mets,0,6,2,https://www.baseball-reference.com/boxes/COL/COL201605130.shtml,"Friday, May 13, 2016",: 2:48,"Night Game, on grass",Colorado Rockies,0,12,5,Start Time: 6:42 p.m. Local,Coors Field,"6&deg; F, Wind 8mph from Right to Left."
17803,Minnesota Twins,1,8,6,https://www.baseball-reference.com/boxes/CLE/CLE201605130.shtml,"Friday, May 13, 2016",: 3:07,"Night Game, on grass",Cleveland Indians,2,8,7,Start Time: 7:10 p.m. Local,Progressive Field,"2&deg; F, Wind 11mph from Left to Right, Sunny."
37479,Pittsburgh Pirates,0,11,4,https://www.baseball-reference.com/boxes/CHN/CHN201605130.shtml,"Friday, May 13, 2016",: 2:55,"Day Game, on grass",Chicago Cubs,1,11,9,Start Time: 1:20 p.m. Local,Wrigley Field,"5&deg; F, Wind 11mph out to Rightfield, Cloudy."
33148,Houston Astros,0,13,7,https://www.baseball-reference.com/boxes/BOS/BOS201605130.shtml,"Friday, May 13, 2016",: 3:49,"Night Game, on grass",Boston Red Sox,0,11,6,Start Time: 7:10 p.m. Local,Fenway Park,"5&deg; F, Wind 12mph out to Centerfield."
30488,Detroit Tigers,0,6,0,https://www.baseball-reference.com/boxes/BAL/BAL201605130.shtml,"Friday, May 13, 2016",: 2:39,"Night Game, on grass",Baltimore Orioles,0,4,1,Start Time: 7:07 p.m. Local,Oriole Park at Camden Yards,"5&deg; F, Wind 4mph out to Rightfield, Sunny."
27869,Cincinnati Reds,1,14,9,https://www.baseball-reference.com/boxes/PHI/PHI201605150.shtml,"Sunday, May 15, 2016",: 3:52,"Day Game, on grass",Philadelphia Phillies,2,12,4,Start Time: 1:39 p.m. Local,Citizens Bank Park,"4&deg; F, Wind 23mph from Left to Right."
27257,Atlanta Braves,0,8,7,https://www.baseball-reference.com/boxes/PHI/PHI201605200.shtml,"Friday, May 20, 2016",: 3:00,"Night Game, on grass",Philadelphia Phillies,2,6,1,Start Time: 7:07 p.m. Local,Citizens Bank Park,"2&deg; F, Wind 4mph from Left to Right."
28235,New York Yankees,1,13,8,https://www.baseball-reference.com/boxes/OAK/OAK201605200.shtml,"Friday, May 20, 2016",: 3:13,"Night Game, on grass",Oakland Athletics,3,6,3,Start Time: 6:38 p.m. Local,Oakland-Alameda County Coliseum,"9&deg; F, Wind 22mph out to Rightfield."
